start_time,end_time,action_name
2026-04-22 18:10:40,2026-04-22 18:42:27,ANTENNA 14.1 (ACR=ON)
2026-04-22 18:44:37,2026-04-22 19:16:28,ANTENNA (ACR=ON)
2026-04-22 19:18:38,2026-04-22 19:49:43,HDMI (ACR=ON)
2026-04-22 19:51:52,2026-04-22 20:23:37,ANTENNA 10.1 (ACR=ON)
2026-04-22 20:25:46,2026-04-22 20:59:43,NETFLIX (ACR=ON)
2026-04-22 21:01:53,2026-04-22 21:32:55,IDLE (ACR=ON)
2026-04-22 21:35:05,2026-04-22 22:06:40,TUBI (ACR=ON)
2026-04-22 22:46:49,2026-04-22 23:18:54,YOUTUBE (ACR=ON)
2026-05-07 00:27:36,2026-05-07 00:43:23,SCREENCAST (ACR=ON)
