start_time,end_time,action_name
2026-04-22 17:30:52,2026-04-22 18:02:18,ANTENNA 14.1 (ACR=ON)
2026-04-22 18:04:28,2026-04-22 18:35:24,ANTENNA (ACR=ON)
2026-04-22 18:37:35,2026-04-22 19:08:54,HDMI (ACR=ON)
2026-04-22 19:11:04,2026-04-22 19:42:34,ANTENNA 10.1 (ACR=ON)
2026-04-22 19:44:44,2026-04-22 20:18:38,NETFLIX (ACR=ON)
2026-04-22 20:20:48,2026-04-22 20:52:50,IDLE (ACR=ON)
2026-04-22 20:55:00,2026-04-22 21:27:55,TUBI (ACR=ON)
2026-04-22 21:30:05,2026-04-22 22:01:07,FAST (ACR=ON)
2026-04-22 22:03:17,2026-04-22 22:35:06,YOUTUBE (ACR=ON)
